id,country,site,lon,lat,zoom,pitch,bearing,setting,photo_url,photo_credit,photo_link
"fountain-reserve","Anguilla","Fountain reserve",-63.036,18.252,12.0,68,-18,"Main island reserve site","https://commons.wikimedia.org/wiki/Special:FilePath/Color_Enhanced_Cavern_DCEN-4.jpg?width=640","Representative cavern image: Shadowmeld Photography, CC BY-SA 3.0","https://commons.wikimedia.org/wiki/File:Color_Enhanced_Cavern_DCEN-4.jpg"
"prickly-pear-cay","Anguilla","Prickly Pear Cay",-63.174,18.264,12.0,68,-18,"Offshore cay deployment","https://commons.wikimedia.org/wiki/Special:FilePath/Anguilla_Prickly-Pear.jpg?width=640","Laurent Michelet, CC BY-SA 3.0 / GFDL","https://commons.wikimedia.org/wiki/File:Anguilla_Prickly-Pear.jpg"
"dog-island","Anguilla","Dog Island",-63.253,18.278,12.0,68,-18,"Remote island deployment","https://commons.wikimedia.org/wiki/Special:FilePath/Dog_Island_Aguilla_Landsat.jpg?width=640","NASA Landsat 7, public domain","https://commons.wikimedia.org/wiki/File:Dog_Island_Aguilla_Landsat.jpg"
"sombrero-island","Anguilla","Sombrero Island",-63.426,18.587,11.2,68,-35,"Northern offshore deployment","https://commons.wikimedia.org/wiki/Special:FilePath/Sombrero_Island,_part_of_Anguilla_-_panoramio.jpg?width=640","David Broad, CC BY 3.0","https://commons.wikimedia.org/wiki/File:Sombrero_Island,_part_of_Anguilla_-_panoramio.jpg"
"ukceh-wallingford","United Kingdom","UKCEH Wallingford",-1.110698,51.602377,14.2,62,-25,"UKCEH headquarters and project coordination site at the Maclean Building, Crowmarsh Gifford","https://www.ceh.ac.uk/sites/default/files/styles/large/public/2023-02/TILE_Wallingford_hq_entrance_2022_740x548.jpg?itok=kqJEbg4D","Main entrance image: UK Centre for Ecology & Hydrology","https://www.ceh.ac.uk/careers/our-sites-wallingford"
